element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,player_id
49,20,1,0,True,2026-08-31T19:00:00Z,0,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,-120,271,0,120,49
50,7,5,0,False,2026-08-23T13:00:00Z,4,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,0,60228,0,0,50
50,20,1,0,True,2026-08-31T19:00:00Z,0,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,-3255,64781,3513,6768,50
51,7,5,2,False,2026-08-23T13:00:00Z,4,0,1,False,90,0,0,0,4,0,0,0,0,0,0,0,12,10.6,11.6,2.0,2.4,0,2,3,5,1,0.00,0.00,0.00,3.77,45,0,60759,0,0,51
51,20,1,2,True,2026-08-31T19:00:00Z,0,1,2,False,70,0,0,0,1,0,0,0,0,0,0,0,5,1.8,4.3,0.0,0.6,0,4,2,6,1,0.00,0.01,0.01,1.01,45,3259,72550,8743,5484,51
52,7,5,1,False,2026-08-23T13:00:00Z,4,0,1,False,8,0,0,0,0,0,0,0,0,0,0,0,5,4.0,0.0,0.0,0.4,1,1,1,3,0,0.00,0.00,0.00,0.14,50,0,3792,0,0,52
52,20,1,0,True,2026-08-31T19:00:00Z,0,1,2,False,19,0,0,0,0,0,0,0,1,0,0,0,2,1.2,0.8,2.0,0.4,0,1,1,2,0,0.00,0.00,0.00,0.02,50,-253,4426,343,596,52
53,7,5,0,False,2026-08-23T13:00:00Z,4,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,60,0,26624,0,0,53
53,20,1,0,True,2026-08-31T19:00:00Z,0,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,60,-8558,18618,232,8790,53
54,7,5,-2,False,2026-08-23T13:00:00Z,4,0,1,False,39,0,0,0,4,0,0,0,0,1,0,0,-2,1.0,11.0,0.0,1.2,1,2,4,7,1,0.00,0.01,0.01,2.58,55,0,6573,0,0,54
54,20,1,0,True,2026-08-31T19:00:00Z,0,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,-1729,5096,154,1883,54
55,7,5,0,False,2026-08-23T13:00:00Z,4,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,80,0,898121,0,0,55
55,20,1,0,True,2026-08-31T19:00:00Z,0,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,79,-265828,734872,10632,276460,55
56,7,5,0,False,2026-08-23T13:00:00Z,4,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,0,11764,0,0,56
56,20,1,1,True,2026-08-31T19:00:00Z,0,1,2,False,19,0,0,0,0,0,0,0,0,0,0,0,3,0.0,1.3,0.0,0.1,0,0,0,0,0,0.00,0.00,0.00,0.02,55,-2086,10592,597,2683,56
160,7,5,1,False,2026-08-23T13:00:00Z,4,0,1,False,4,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.14,60,0,54802,0,0,160
160,20,1,1,True,2026-08-31T19:00:00Z,0,1,2,False,12,0,0,0,0,0,0,0,0,0,0,0,3,0.2,2.0,0.0,0.2,0,2,0,2,0,0.00,0.00,0.00,0.00,60,-8554,53506,2021,10575,160
166,10,10,0,False,2026-08-24T19:00:00Z,2,3,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,65,0,29435,0,0,166
